country,region,lat,long,country_code,decade,value
Cameroon,Africa,7.369722,12.354722,CMR,2000,47.01931839
Cameroon,Africa,7.369722,12.354722,CMR,2010,57.5131399377778
Canada,North America,56.130366,-106.346771,CAN,1990,100.0
Canada,North America,56.130366,-106.346771,CAN,2000,100.0
Canada,North America,56.130366,-106.346771,CAN,2010,100.0
Cayman Islands,North America,19.513469,-80.566956,CYM,1990,99.979279327
Cayman Islands,North America,19.513469,-80.566956,CYM,2000,100.0
Cayman Islands,North America,19.513469,-80.566956,CYM,2010,100.0
Central African Republic,Africa,6.611111,20.939444,CAF,1990,3.7947060584
Central African Republic,Africa,6.611111,20.939444,CAF,2000,7.9015607576
Central African Republic,Africa,6.611111,20.939444,CAF,2010,21.3463468333333
Chad,Africa,15.454166,18.732207,TCD,1990,2.113194084
Chad,Africa,15.454166,18.732207,TCD,2000,4.4150200127
Chad,Africa,15.454166,18.732207,TCD,2010,8.697411697
Chile,South America,-35.675147,-71.542969,CHL,1990,95.36150328
Chile,South America,-35.675147,-71.542969,CHL,2000,98.252386935
Chile,South America,-35.675147,-71.542969,CHL,2010,99.8095600255556
China,Asia,35.86166,104.195397,CHN,1990,
China,Asia,35.86166,104.195397,CHN,2000,98.101706696
China,Asia,35.86166,104.195397,CHN,2010,99.9499176022222
Colombia,South America,4.570868,-74.297333,COL,1990,91.932697448
Colombia,South America,4.570868,-74.297333,COL,2000,95.477567412
Colombia,South America,4.570868,-74.297333,COL,2010,97.9009413488889
Comoros,Africa,-11.875001,43.872219,COM,1990,
Comoros,Africa,-11.875001,43.872219,COM,2000,55.660947418
Comoros,Africa,-11.875001,43.872219,COM,2010,73.6831509066667
Democratic Republic of the Congo,Africa,-4.038333,21.758664,COD,1990,
Democratic Republic of the Congo,Africa,-4.038333,21.758664,COD,2000,9.4653039831
Democratic Republic of the Congo,Africa,-4.038333,21.758664,COD,2010,15.6446567533333
Congo,Africa,-0.228021,15.827659,COG,1990,
Congo,Africa,-0.228021,15.827659,COG,2000,36.2596868525
Congo,Africa,-0.228021,15.827659,COG,2010,53.8086814877778
Costa Rica,North America,9.748917,-83.753428,CRI,1990,98.3392486566667
Costa Rica,North America,9.748917,-83.753428,CRI,2000,98.917843752
Costa Rica,North America,9.748917,-83.753428,CRI,2010,99.4626657777778
Cote d'Ivoire,Africa,7.539989,-5.54708,CIV,1990,41.37237732
Cote d'Ivoire,Africa,7.539989,-5.54708,CIV,2000,53.020225219
Cote d'Ivoire,Africa,7.539989,-5.54708,CIV,2010,61.70888426
Croatia,Europe,45.1,15.2,HRV,1990,
Croatia,Europe,45.1,15.2,HRV,2000,100.0
Croatia,Europe,45.1,15.2,HRV,2010,100.0
Cuba,North America,21.521757,-77.781167,CUB,1990,94.583351137
Cuba,North America,21.521757,-77.781167,CUB,2000,96.877915191
Cuba,North America,21.521757,-77.781167,CUB,2010,99.0163591166667
Cyprus,Europe,35.126413,33.429859,CYP,1990,100.0
Cyprus,Europe,35.126413,33.429859,CYP,2000,100.0
Cyprus,Europe,35.126413,33.429859,CYP,2010,100.0
Czech Republic,Europe,49.817492,15.472962,CZE,1990,100.0
Czech Republic,Europe,49.817492,15.472962,CZE,2000,100.0
Czech Republic,Europe,49.817492,15.472962,CZE,2010,100.0
Denmark,Europe,56.26392,9.501785,DNK,1990,100.0
Denmark,Europe,56.26392,9.501785,DNK,2000,100.0
Denmark,Europe,56.26392,9.501785,DNK,2010,100.0
Djibouti,Africa,11.825138,42.590275,DJI,1990,57.757593155
Djibouti,Africa,11.825138,42.590275,DJI,2000,55.520925064
Djibouti,Africa,11.825138,42.590275,DJI,2010,57.32054952
Dominica,North America,15.414999,-61.370976,DMA,1990,77.31070709
Dominica,North America,15.414999,-61.370976,DMA,2000,87.261926422
Dominica,North America,15.414999,-61.370976,DMA,2010,98.2049263844445
Dominican Republic,North America,18.735693,-70.162651,DOM,1990,84.4992975866667
