country,region,lat,long,country_code,decade,value
Afghanistan,Asia,33.93911,67.709953,AFG,1990,-1
Afghanistan,Asia,33.93911,67.709953,AFG,2000,17.4
Afghanistan,Asia,33.93911,67.709953,AFG,2010,41.7
Albania,Europe,41.153332,20.168331,ALB,1990,92.55
Albania,Europe,41.153332,20.168331,ALB,2000,99.0375
Albania,Europe,41.153332,20.168331,ALB,2010,99.8
Algeria,Africa,28.033886,1.659626,DZA,1990,76.5
Algeria,Africa,28.033886,1.659626,DZA,2000,94.36666666666670
Algeria,Africa,28.033886,1.659626,DZA,2010,96.6
American Samoa,Oceania,-14.270972,-170.132217,ASM,1990,-1
American Samoa,Oceania,-14.270972,-170.132217,ASM,2000,100.0
American Samoa,Oceania,-14.270972,-170.132217,ASM,2010,-1
Andorra,Europe,42.546245,1.601554,AND,1990,-1
Andorra,Europe,42.546245,1.601554,AND,2000,-1
Andorra,Europe,42.546245,1.601554,AND,2010,-1
Angola, Africa,-11.202692,17.873887,AGO,1990,22.5
Angola, Africa,-11.202692,17.873887,AGO,2000,45.7
Angola, Africa,-11.202692,17.873887,AGO,2010,49.6
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,1990,100.0
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,2000,99.77
Antigua and Barbuda,North America,17.060816,-61.796428,ATG,2010,100.0
Argentina, South America,-38.416097,-63.616672,ARG,1990,97.23333333333330
Argentina, South America,-38.416097,-63.616672,ARG,2000,98.48
Argentina, South America,-38.416097,-63.616672,ARG,2010,97.75833333333330
Armenia, Asia,40.069099,45.038189,ARM,1990,96.79
Armenia, Asia,40.069099,45.038189,ARM,2000,99.0
Armenia, Asia,40.069099,45.038189,ARM,2010,99.88333333333330
Aruba, South America,12.52111,-69.968338,ABW,1990,-1
Aruba, South America,12.52111,-69.968338,ABW,2000,96.0
Aruba, South America,12.52111,-69.968338,ABW,2010,-1
Australia, Oceania,-25.274398,133.775136,AUS,1990,99.38888888888890
Australia, Oceania,-25.274398,133.775136,AUS,2000,99.26
Australia, Oceania,-25.274398,133.775136,AUS,2010,99.38
Austria, Europe,47.516231,14.550072,AUT,1990,98.6
Austria, Europe,47.516231,14.550072,AUT,2000,98.47
Austria, Europe,47.516231,14.550072,AUT,2010,98.5
Azerbaijan, Asia,40.143105,47.576927,AZE,1990,94.06
Azerbaijan, Asia,40.143105,47.576927,AZE,2000,93.76
Azerbaijan, Asia,40.143105,47.576927,AZE,2010,99.4
Bahrain, Asia,25.930414,50.637772,BHR,1990,97.6
Bahrain, Asia,25.930414,50.637772,BHR,2000,98.18
Bahrain, Asia,25.930414,50.637772,BHR,2010,99.66666666666670
Bangladesh,Asia,23.684994,90.356331,BGD,1990,8.75
Bangladesh,Asia,23.684994,90.356331,BGD,2000,16.242857142857100
Bangladesh,Asia,23.684994,90.356331,BGD,2010,38.720000000000000
Barbados,North America,13.193887,-59.543198,BRB,1990,95.5
