country,region,lat,long,country_code,decade,value
Cameroon,Africa,7.369722,12.354722,CMR,1990,16.12607390768020
Cameroon,Africa,7.369722,12.354722,CMR,2000,20.41709652238950
Cameroon,Africa,7.369722,12.354722,CMR,2010,25.792510106327400
Canada,North America,56.130366,-106.346771,CAN,1990,40.73976656583420
Canada,North America,56.130366,-106.346771,CAN,2000,43.255904077114900
Canada,North America,56.130366,-106.346771,CAN,2010,45.50497491262180
Cayman Islands,North America,19.513469,-80.566956,CYM,1990,-1
Cayman Islands,North America,19.513469,-80.566956,CYM,2000,-1
Cayman Islands,North America,19.513469,-80.566956,CYM,2010,-1
Central African Republic,Africa,6.611111,20.939444,CAF,1990,-1
Central African Republic,Africa,6.611111,20.939444,CAF,2000,-1
Central African Republic,Africa,6.611111,20.939444,CAF,2010,-1
Chad,Africa,15.454166,18.732207,TCD,1990,8.170674609992710
Chad,Africa,15.454166,18.732207,TCD,2000,8.221391810267220
Chad,Africa,15.454166,18.732207,TCD,2010,8.415450337019260
Chile,South America,-35.675147,-71.542969,CHL,1990,35.489486083729900
Chile,South America,-35.675147,-71.542969,CHL,2000,37.15341569942740
Chile,South America,-35.675147,-71.542969,CHL,2010,36.24362405222780
China,Asia,35.86166,104.195397,CHN,1990,12.902281376834000
China,Asia,35.86166,104.195397,CHN,2000,19.757573506575900
China,Asia,35.86166,104.195397,CHN,2010,25.86186480432040
Colombia,South America,4.570868,-74.297333,COL,1990,33.92310904345920
Colombia,South America,4.570868,-74.297333,COL,2000,37.41626592566380
Colombia,South America,4.570868,-74.297333,COL,2010,42.24946491324600
Comoros,Africa,-11.875001,43.872219,COM,1990,-1
Comoros,Africa,-11.875001,43.872219,COM,2000,-1
Comoros,Africa,-11.875001,43.872219,COM,2010,-1
Democratic Republic of the Congo,Africa,-4.038333,21.758664,COD,1990,18.060337001274000
Democratic Republic of the Congo,Africa,-4.038333,21.758664,COD,2000,21.13447473941050
Democratic Republic of the Congo,Africa,-4.038333,21.758664,COD,2010,23.30568609054660
